epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.205,1.32878,2.66697,3.28351,1.29318,0.71102,0.1458,0.12018,0.07757,0.70637,0.13978,0.11529,0.06806,1.31393,2.5338,2.06122,1.29309,0.0033321,0.0033321,0.0033321
2,731.591,1.29056,2.51936,2.19874,1.2631,0.58053,0.16985,0.14848,0.09293,0.57966,0.16287,0.14127,0.08371,1.30746,2.54612,1.87606,1.28306,0.00659945,0.00659945,0.00659945
3,1088.48,1.32315,2.58762,2.12978,1.27295,0.41634,0.1831,0.15245,0.09433,0.42486,0.17355,0.1445,0.08391,1.30784,2.58279,1.83984,1.28106,0.00980079,0.00980079,0.00980079
4,1432.59,1.3111,2.57944,2.03922,1.2575,0.54572,0.1933,0.17216,0.10887,0.5361,0.18642,0.16209,0.0939,1.23866,2.4773,1.72242,1.21883,0.009703,0.009703,0.009703
5,1773.72,1.25549,2.47862,1.89411,1.21963,0.45155,0.21925,0.19369,0.12894,0.46255,0.20185,0.18626,0.11359,1.18069,2.37057,1.61251,1.1858,0.009604,0.009604,0.009604
6,2115.12,1.22402,2.42449,1.8091,1.20193,0.49985,0.23125,0.20725,0.1359,0.49464,0.22208,0.19744,0.11975,1.15275,2.32885,1.55828,1.16482,0.009505,0.009505,0.009505
7,2456.21,1.20144,2.38139,1.75173,1.18813,0.50814,0.23797,0.22193,0.14883,0.50393,0.227,0.21267,0.13071,1.12006,2.26312,1.49499,1.1469,0.009406,0.009406,0.009406
8,2797.35,1.18697,2.35414,1.70666,1.17888,0.50341,0.25343,0.23096,0.1558,0.5017,0.23942,0.22232,0.13608,1.1066,2.23844,1.45889,1.13697,0.009307,0.009307,0.009307
9,3138.47,1.17237,2.32885,1.6806,1.1714,0.48663,0.26558,0.24317,0.16527,0.47429,0.25652,0.23219,0.14326,1.08407,2.20363,1.42651,1.12736,0.009208,0.009208,0.009208
10,3479.43,1.16183,2.31001,1.65287,1.16466,0.50643,0.26176,0.24642,0.16758,0.52184,0.24912,0.23493,0.14569,1.07511,2.18278,1.40376,1.11772,0.009109,0.009109,0.009109
11,3820.76,1.1529,2.29009,1.63011,1.16076,0.49685,0.27392,0.25083,0.17042,0.49291,0.25555,0.2383,0.1474,1.06109,2.16333,1.3825,1.11001,0.00901,0.00901,0.00901
12,4161.72,1.1451,2.27586,1.61263,1.15568,0.4895,0.27478,0.25545,0.17421,0.48732,0.26184,0.24362,0.15134,1.05158,2.14847,1.36517,1.10542,0.008911,0.008911,0.008911
13,4502.77,1.13437,2.26473,1.59923,1.15078,0.49323,0.27933,0.26093,0.18075,0.49041,0.26826,0.24961,0.15597,1.03961,2.13054,1.34627,1.09789,0.008812,0.008812,0.008812
14,4843.76,1.12827,2.24939,1.58274,1.1462,0.51265,0.28253,0.26896,0.18357,0.50423,0.26892,0.25444,0.15873,1.03568,2.11937,1.33313,1.09618,0.008713,0.008713,0.008713
15,5184.75,1.12345,2.24444,1.57518,1.14571,0.55862,0.2727,0.26953,0.18546,0.54202,0.26401,0.25618,0.16033,1.02714,2.10796,1.32193,1.09079,0.008614,0.008614,0.008614
16,5525.68,1.11983,2.23812,1.56392,1.1418,0.56609,0.27423,0.27296,0.18815,0.55306,0.26381,0.25877,0.1617,1.02014,2.09885,1.31351,1.08639,0.008515,0.008515,0.008515
17,5866.82,1.11286,2.22136,1.55214,1.13741,0.54802,0.28012,0.27586,0.19047,0.54032,0.2663,0.26141,0.16394,1.0186,2.09038,1.30851,1.08419,0.008416,0.008416,0.008416
18,6207.81,1.11125,2.22303,1.54693,1.13626,0.53044,0.27746,0.27731,0.19214,0.52044,0.26618,0.26307,0.16571,1.0133,2.08422,1.29938,1.08127,0.008317,0.008317,0.008317
19,6548.76,1.10616,2.20811,1.53378,1.13402,0.48217,0.29134,0.27808,0.19221,0.53198,0.2652,0.2641,0.16649,1.01019,2.07835,1.29413,1.07907,0.008218,0.008218,0.008218
20,6889.97,1.10466,2.20632,1.52626,1.13095,0.50888,0.29441,0.28046,0.19344,0.53059,0.26722,0.26625,0.16763,1.0067,2.07605,1.28832,1.07693,0.008119,0.008119,0.008119
21,7230.81,1.09728,2.19676,1.51753,1.12839,0.51283,0.29479,0.28144,0.19426,0.4955,0.28326,0.26756,0.16801,1.00436,2.06927,1.2832,1.07514,0.00802,0.00802,0.00802
22,7571.92,1.09528,2.18721,1.50966,1.12563,0.50709,0.29659,0.28186,0.19461,0.49009,0.2837,0.26762,0.1677,1.00229,2.06455,1.27924,1.07401,0.007921,0.007921,0.007921
23,7913.15,1.09089,2.18613,1.50482,1.12469,0.50551,0.29804,0.28239,0.19593,0.4865,0.28787,0.26848,0.16878,1.00071,2.06078,1.27583,1.07287,0.007822,0.007822,0.007822
24,8253.94,1.08945,2.18003,1.50441,1.12443,0.4839,0.29978,0.28335,0.19615,0.49134,0.28714,0.26897,0.16927,0.99938,2.0578,1.27271,1.07177,0.007723,0.007723,0.007723
25,8595.06,1.08705,2.17641,1.50022,1.12254,0.48879,0.29863,0.28394,0.19771,0.47215,0.28703,0.26931,0.1695,0.99792,2.05544,1.27059,1.07082,0.007624,0.007624,0.007624
26,8935.82,1.08201,2.16989,1.49505,1.12056,0.50098,0.29555,0.28482,0.19882,0.47945,0.28382,0.27008,0.17038,0.99619,2.05327,1.268,1.06962,0.007525,0.007525,0.007525
27,9277.21,1.08299,2.16948,1.49264,1.11857,0.53301,0.29356,0.28524,0.19927,0.51489,0.28156,0.27136,0.17122,0.99509,2.05022,1.26593,1.06869,0.007426,0.007426,0.007426
28,9618.04,1.08006,2.16406,1.48561,1.11829,0.5566,0.29289,0.28584,0.19978,0.53967,0.27994,0.27142,0.17155,0.99404,2.0485,1.26378,1.068,0.007327,0.007327,0.007327
29,9958.98,1.07892,2.16111,1.48105,1.11746,0.55834,0.2931,0.28682,0.20053,0.54662,0.27874,0.27243,0.17213,0.99287,2.04641,1.26183,1.06728,0.007228,0.007228,0.007228
30,10299.8,1.07543,2.15403,1.47445,1.11588,0.55952,0.29451,0.28782,0.20091,0.54538,0.28039,0.2734,0.17248,0.99151,2.04423,1.25934,1.06641,0.007129,0.007129,0.007129
31,10641.1,1.07328,2.15232,1.46443,1.11378,0.53807,0.29735,0.28859,0.20162,0.54321,0.28608,0.27427,0.17267,0.99064,2.04226,1.25669,1.06567,0.00703,0.00703,0.00703
32,10982,1.07313,2.15045,1.46877,1.11316,0.53385,0.29696,0.28882,0.20161,0.51897,0.28659,0.27425,0.17299,0.98948,2.04012,1.25442,1.06483,0.006931,0.006931,0.006931
33,11323.1,1.0689,2.14274,1.45943,1.1119,0.51883,0.307,0.289,0.20194,0.52157,0.28727,0.27529,0.174,0.9888,2.03916,1.25258,1.06423,0.006832,0.006832,0.006832
34,11664.2,1.06662,2.13048,1.45283,1.11003,0.54011,0.29798,0.29023,0.20302,0.52482,0.28512,0.27626,0.17447,0.98811,2.03673,1.25077,1.06354,0.006733,0.006733,0.006733
35,12005.2,1.06831,2.13758,1.45252,1.11018,0.56085,0.29864,0.2908,0.20355,0.54752,0.28624,0.2771,0.17514,0.98737,2.03546,1.24858,1.06274,0.006634,0.006634,0.006634
36,12346.4,1.06633,2.13367,1.44962,1.10952,0.56233,0.29912,0.29137,0.20384,0.54642,0.2889,0.27762,0.17598,0.9868,2.03423,1.24658,1.06229,0.006535,0.006535,0.006535
37,12687.2,1.06239,2.12341,1.44346,1.10754,0.56149,0.2987,0.29178,0.20427,0.54937,0.28611,0.27817,0.17641,0.98606,2.03192,1.24485,1.06175,0.006436,0.006436,0.006436
38,13028.2,1.06231,2.12888,1.44913,1.10817,0.56272,0.29827,0.29246,0.20498,0.55205,0.28754,0.27935,0.17686,0.98509,2.0302,1.24298,1.06111,0.006337,0.006337,0.006337
39,13369.3,1.05918,2.12358,1.44204,1.10677,0.56204,0.29979,0.29314,0.20549,0.55201,0.2868,0.27926,0.17681,0.98444,2.02789,1.24099,1.06046,0.006238,0.006238,0.006238
40,13710.3,1.0568,2.11078,1.43583,1.10622,0.55962,0.30045,0.29349,0.20575,0.55428,0.28629,0.2796,0.17706,0.98384,2.02566,1.23934,1.05993,0.006139,0.006139,0.006139
41,14051.5,1.05546,2.10697,1.43066,1.10461,0.55803,0.30212,0.29385,0.20613,0.54439,0.29029,0.27967,0.17707,0.98298,2.02326,1.23743,1.05916,0.00604,0.00604,0.00604
42,14392.5,1.05485,2.1109,1.43282,1.10482,0.55642,0.30632,0.29447,0.20663,0.5471,0.29155,0.28078,0.1777,0.98187,2.02153,1.23611,1.05854,0.005941,0.005941,0.005941
43,14733.9,1.05311,2.10648,1.42003,1.10117,0.55898,0.30611,0.29513,0.20693,0.5467,0.29217,0.28138,0.17826,0.98091,2.01965,1.23431,1.05794,0.005842,0.005842,0.005842
44,15074.9,1.05061,2.104,1.42114,1.10147,0.56037,0.30625,0.29604,0.2076,0.54719,0.29328,0.28261,0.1788,0.9804,2.01854,1.23233,1.05756,0.005743,0.005743,0.005743
45,15416.2,1.04799,2.10162,1.41878,1.10073,0.55785,0.30752,0.29652,0.20807,0.54801,0.29253,0.2831,0.17915,0.97992,2.01634,1.23069,1.05703,0.005644,0.005644,0.005644
46,15757.2,1.04622,2.09485,1.41274,1.09924,0.55739,0.30739,0.29673,0.2089,0.54912,0.29537,0.28367,0.17951,0.97946,2.01536,1.22919,1.05651,0.005545,0.005545,0.005545
47,16098.2,1.04518,2.09107,1.41101,1.09874,0.52298,0.31712,0.29766,0.20937,0.54934,0.29502,0.28441,0.18,0.97839,2.01397,1.22701,1.05577,0.005446,0.005446,0.005446
48,16439.1,1.04323,2.08877,1.40682,1.09676,0.52446,0.31583,0.29808,0.20972,0.55022,0.29592,0.28556,0.18038,0.97785,2.01177,1.22526,1.05535,0.005347,0.005347,0.005347
49,16780.4,1.04182,2.08807,1.40486,1.09538,0.52369,0.31467,0.29853,0.20992,0.55876,0.2944,0.28585,0.18065,0.97698,2.01025,1.22319,1.05483,0.005248,0.005248,0.005248
50,17121.4,1.0413,2.08289,1.40453,1.0958,0.53103,0.3121,0.2991,0.21032,0.56179,0.29387,0.28616,0.18085,0.97637,2.00893,1.22164,1.0544,0.005149,0.005149,0.005149
51,17462.5,1.03907,2.07889,1.39817,1.09355,0.53589,0.31338,0.29984,0.21104,0.5643,0.29444,0.28692,0.18157,0.97549,2.00725,1.22038,1.05384,0.00505,0.00505,0.00505
52,17803.6,1.04082,2.07946,1.39397,1.09399,0.53789,0.31112,0.30023,0.21121,0.56165,0.29657,0.28726,0.18209,0.97509,2.00565,1.219,1.0533,0.004951,0.004951,0.004951
53,18144.8,1.0358,2.07657,1.39494,1.09408,0.53765,0.31272,0.3005,0.21171,0.53237,0.29928,0.28737,0.182,0.97447,2.00419,1.21725,1.05264,0.004852,0.004852,0.004852
54,18485.8,1.03433,2.07336,1.38919,1.09201,0.53944,0.31449,0.30163,0.21241,0.52915,0.30062,0.28858,0.1826,0.97398,2.00284,1.216,1.05203,0.004753,0.004753,0.004753
55,18826.8,1.03137,2.06868,1.38421,1.09047,0.53869,0.31474,0.30106,0.21231,0.52746,0.30271,0.28809,0.1823,0.97369,2.00196,1.21417,1.05167,0.004654,0.004654,0.004654
56,19168,1.0296,2.06585,1.38036,1.08893,0.5417,0.31854,0.30149,0.21277,0.53198,0.30639,0.28818,0.18265,0.97337,1.99981,1.21285,1.05127,0.004555,0.004555,0.004555
57,19509.1,1.02999,2.06475,1.3796,1.09082,0.54786,0.31293,0.30139,0.21268,0.5361,0.30114,0.28811,0.18258,0.97283,1.9984,1.21152,1.05082,0.004456,0.004456,0.004456
58,19850.2,1.03133,2.0626,1.38106,1.0902,0.54736,0.31528,0.30185,0.21281,0.53519,0.30231,0.28868,0.18295,0.97216,1.99624,1.20989,1.05009,0.004357,0.004357,0.004357
59,20191.3,1.02482,2.04584,1.3731,1.08726,0.53894,0.32011,0.30231,0.21314,0.53477,0.30491,0.28913,0.18341,0.97195,1.99523,1.20835,1.04971,0.004258,0.004258,0.004258
60,20532.3,1.02508,2.05322,1.36969,1.08675,0.5352,0.31969,0.3029,0.21359,0.5396,0.30429,0.28992,0.18386,0.97148,1.99319,1.20704,1.04936,0.004159,0.004159,0.004159
61,20873.5,1.02554,2.05796,1.36873,1.08606,0.54409,0.31632,0.30407,0.21434,0.53526,0.30592,0.29093,0.18452,0.97084,1.99231,1.2058,1.04887,0.00406,0.00406,0.00406
62,21214.3,1.02101,2.04373,1.36123,1.08462,0.52269,0.31703,0.30449,0.21428,0.53464,0.30601,0.29106,0.1846,0.97091,1.99089,1.20481,1.04864,0.003961,0.003961,0.003961
63,21555.2,1.02023,2.04124,1.36287,1.08564,0.52518,0.31551,0.30492,0.21484,0.5142,0.3053,0.29156,0.18502,0.97066,1.98908,1.20367,1.04833,0.003862,0.003862,0.003862
64,21896.4,1.02059,2.03928,1.36136,1.08381,0.49464,0.31897,0.30573,0.21541,0.5177,0.30602,0.29218,0.18545,0.97019,1.98772,1.20282,1.04801,0.003763,0.003763,0.003763
65,22237.6,1.0163,2.03586,1.35285,1.0821,0.49788,0.31625,0.30601,0.21616,0.4893,0.30708,0.29284,0.18594,0.96941,1.98586,1.20154,1.04757,0.003664,0.003664,0.003664
66,22578.3,1.01371,2.0295,1.34906,1.08142,0.49945,0.31678,0.30686,0.21655,0.51625,0.30507,0.29311,0.18609,0.96913,1.98456,1.20052,1.04739,0.003565,0.003565,0.003565
